plu;Q (m3s);ev (mm/h);Q(mm/h)
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.06;0.018
0;2;0.102;0.018
0;2;0.132;0.018
0;2;0.162;0.018
0;2;0.186;0.018
0;2;0.198;0.018
0.4;2.06;0.198;0.018
0;2.05;0.186;0.018
0;2.04;0.162;0.018
0;2.03;0.132;0.018
0;2.03;0.102;0.018
0;2.02;0.06;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.108;0.018
0;2;0.192;0.018
0;2;0.24;0.018
0;2;0.294;0.018
0;2;0.336;0.018
0;2;0.36;0.018
0;2;0.36;0.018
0;2;0.336;0.018
0;2;0.294;0.018
0;2;0.24;0.018
0;2;0.192;0.018
0;2;0.108;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.096;0.018
0;2;0.174;0.018
0;2;0.222;0.018
0;2;0.276;0.018
0;2;0.312;0.018
0;2;0.33;0.018
0;2;0.33;0.018
0;2;0.312;0.018
0;2;0.276;0.018
0;2;0.222;0.018
0;2;0.174;0.018
0;2;0.096;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
2.6;3.13;0;0.0276
0;2.54;0;0.0228
0;2.3;0.096;0.0204
0;2.19;0.168;0.0192
0;2.13;0.216;0.0192
0;2.09;0.264;0.0192
0;2.07;0.3;0.0192
0;2.05;0.318;0.018
0;2.04;0.318;0.018
0;2.03;0.3;0.018
0;2.03;0.264;0.018
0;2.02;0.216;0.018
0;2.02;0.168;0.018
0;2.02;0.096;0.018
0.2;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0.2;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0.2;2;0;0.018
0;2;0.066;0.018
0;2;0.12;0.018
0;2;0.15;0.018
0;2;0.186;0.018
0;2;0.21;0.018
0;2;0.222;0.018
0;2;0.222;0.018
0;2;0.21;0.018
0;2;0.186;0.018
0;2;0.15;0.018
0;2;0.12;0.018
0;2;0.066;0.018
0.2;2;0;0.018
3;3.4;0;0.0312
0;2.64;0;0.024
0;2.34;0;0.0216
0;2.21;0;0.0204
0;2.14;0;0.0192
0.2;2.1;0;0.0192
0;2.07;0;0.0192
0;2.05;0;0.018
0.8;2.42;0;0.0216
0;2.27;0;0.0204
8.6;12.22;0;0.1104
0.8;5.59;0.072;0.0504
0;3.39;0.12;0.03
0;2.7;0.156;0.024
0;2.41;0.192;0.0216
0;2.26;0.216;0.0204
0;2.18;0.234;0.0192
0;2.13;0.234;0.0192
0;2.1;0.216;0.0192
0;2.08;0.192;0.0192
0;2.06;0.156;0.018
0;2.05;0.12;0.018
0;2.04;0.072;0.018
0;2.03;0;0.018
0;2.03;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0.132;0.018
0;2.01;0.234;0.018
0;2.01;0.3;0.018
0;2.01;0.366;0.018
0;2;0.414;0.018
0;2;0.444;0.018
0;2;0.444;0.018
0;2;0.414;0.018
0;2;0.366;0.018
0;2;0.3;0.018
0;2;0.234;0.018
0;2;0.132;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.138;0.018
0;2;0.246;0.018
0;2;0.312;0.018
0;2;0.384;0.018
0;2;0.438;0.018
0;2;0.462;0.018
0;2;0.462;0.018
0;2;0.438;0.018
0;2;0.384;0.018
0;2;0.312;0.018
0;2;0.246;0.018
